Number,Title,AcceptanceRate,Difficulty,Frequency
410,Split Array Largest Sum,52.3%,Hard,0.5747571646117852
412,Fizz Buzz,67.0%,Easy,0.04908961019652358
415,Add Strings,52.3%,Easy,3.779029454327778
416,Partition Equal Subset Sum,46.5%,Medium,1.3855295427269685
419,Battleships in a Board,73.8%,Medium,0.21357410029805904
435,Non-overlapping Intervals,48.5%,Medium,0.7252354951114459
437,Path Sum III,50.1%,Medium,0.25562013999211797
438,Find All Anagrams in a String,48.4%,Medium,0.24031279986563278
442,Find All Duplicates in an Array,72.6%,Medium,0.07924937165414055
443,String Compression,47.7%,Medium,0.5210297939402324
448,Find All Numbers Disappeared in an Array,59.2%,Easy,0.22440062250426088
451,Sort Characters By Frequency,67.9%,Medium,0.48401013690358163
452,Minimum Number of Arrows to Burst Balloons,53.0%,Medium,0.27193371548364176
463,Island Perimeter,69.0%,Easy,1.446620341751487
480,Sliding Window Median,41.1%,Hard,2.279513972092734
490,The Maze,54.8%,Medium,0.6325225587435105
494,Target Sum,45.4%,Medium,0.8811246149500187
496,Next Greater Element I,70.3%,Easy,0.05807146640389905
498,Diagonal Traverse,57.1%,Medium,4.453172069887194
503,Next Greater Element II,62.3%,Medium,0.38378938262912404
510,Inorder Successor in BST II,61.3%,Medium,0.5465437063680699
515,Find Largest Value in Each Tree Row,64.5%,Medium,2.8578117005107053
516,Longest Palindromic Subsequence,59.6%,Medium,0.1093985944071066
523,Continuous Subarray Sum,27.4%,Medium,4.215634923287409
525,Contiguous Array,46.4%,Medium,0.48550781578170077
1721,Swapping Nodes in a Linked List,68.3%,Medium,0.3416302106614813
529,Minesweeper,64.8%,Medium,1.578185368929996
536,Construct Binary Tree from String,55.9%,Medium,2.8217628372682206
540,Single Element in a Sorted Array,58.7%,Medium,0.384723623801348
542,01 Matrix,43.8%,Medium,0.047798823737776906
543,Diameter of Binary Tree,54.5%,Easy,3.924386128643446
545,Boundary of Binary Tree,43.4%,Medium,0.5742859776832164
556,Next Greater Element III,33.9%,Medium,2.0311065719069585
557,Reverse Words in a String III,79.1%,Easy,0.05436120921888738
560,Subarray Sum Equals K,44.2%,Medium,5.034768242995423
572,Subtree of Another Tree,45.5%,Easy,0.04774176288521523
597,Friend Requests I: Overall Acceptance Rate,42.6%,Easy,0.5877866649021191
605,Can Place Flowers,33.1%,Easy,1.3023213457536662
610,Triangle Judgement,70.9%,Easy,0.5543107357057295
616,Add Bold Tag in String,48.4%,Medium,3.3596034843633182
617,Merge Two Binary Trees,78.0%,Easy,0.3781342143911931
621,Task Scheduler,54.7%,Medium,0.49469624183610705
636,Exclusive Time of Functions,60.5%,Medium,4.254599024987376
637,Average of Levels in Binary Tree,68.9%,Easy,0.7095409903356217
643,Maximum Average Subarray I,43.6%,Easy,1.3741730005875459
647,Palindromic Substrings,65.7%,Medium,2.2648974506622737
648,Replace Words,62.1%,Medium,0.4096756406445079
658,Find K Closest Elements,44.6%,Medium,2.127195972975736
662,Maximum Width of Binary Tree,40.3%,Medium,0.2125614419836728
669,Trim a Binary Search Tree,66.3%,Medium,0.5423242908253616
670,Maximum Swap,47.6%,Medium,3.9716387151025003
674,Longest Continuous Increasing Subsequence,48.5%,Easy,1.0479685558493548
676,Implement Magic Dictionary,56.6%,Medium,0.6359887667199967
678,Valid Parenthesis String,33.4%,Medium,0.867611058837922
680,Valid Palindrome II,39.4%,Easy,6.480323974064224
689,Maximum Sum of 3 Non-Overlapping Subarrays,48.6%,Hard,1.007640510462383
691,Stickers to Spell Word,46.7%,Hard,1.9459101490553132
692,Top K Frequent Words,54.5%,Medium,0.43814407233118585
695,Max Area of Island,70.0%,Medium,1.1212030032982905
713,Subarray Product Less Than K,44.0%,Medium,0.2822324676842163
716,Max Stack,45.2%,Easy,0.26826398659467937
719,Find K-th Smallest Pair Distance,35.3%,Hard,0.462623521948113
721,Accounts Merge,56.0%,Medium,3.904314801984827
723,Candy Crush,75.4%,Medium,0.8668106746107854
724,Find Pivot Index,51.9%,Easy,1.599104330579555
735,Asteroid Collision,44.3%,Medium,1.2255429972612801
739,Daily Temperatures,67.3%,Medium,1.366350144068611
740,Delete and Earn,57.4%,Medium,0.08701137698962977
752,Open the Lock,55.4%,Medium,0.2037476209666304
426,Convert Binary Search Tree to Sorted Doubly Linked List,64.4%,Medium,5.2478662765459
759,Employee Free Time,71.2%,Hard,0.35454501768090746
766,Toeplitz Matrix,68.1%,Easy,3.426277066059179
767,Reorganize String,52.2%,Medium,1.2668914883390254
772,Basic Calculator III,47.7%,Hard,1.5310845981875851
703,Kth Largest Element in a Stream,54.9%,Easy,0.3281156420302715
704,Binary Search,55.2%,Easy,0.026755460417928482
778,Swim in Rising Water,59.0%,Hard,2.5975609430502975
787,Cheapest Flights Within K Stops,35.9%,Medium,0.18306532774679926
791,Custom Sort String,69.3%,Medium,5.345568829313336
706,Design HashMap,65.2%,Easy,0.11918851726511835
814,Binary Tree Pruning,70.9%,Medium,0.7958013346200287
708,Insert into a Sorted Circular Linked List,34.4%,Medium,4.5264361454455875
824,Goat Latin,67.6%,Easy,1.1786549963416462
825,Friends Of Appropriate Ages,46.1%,Medium,2.7227563484919055
827,Making A Large Island,44.8%,Hard,4.231501851961926
622,Design Circular Queue,48.8%,Medium,0.5465437063680699
489,Robot Room Cleaner,76.1%,Hard,2.069779630768099
856,Score of Parentheses,65.3%,Medium,0.9873866535578852
859,Buddy Strings,28.8%,Easy,0.21472498084861397
862,Shortest Subarray with Sum at Least K,26.1%,Hard,0.2595111954850846
863,All Nodes Distance K in Binary Tree,61.3%,Medium,2.311351586206228
865,Smallest Subtree with all the Deepest Nodes,68.0%,Medium,1.5905099025485816
875,Koko Eating Bananas,54.4%,Medium,0.4953214372300255
876,Middle of the Linked List,72.8%,Easy,0.04970653218224056
528,Random Pick with Weight,46.1%,Medium,5.966643766091192
895,Maximum Frequency Stack,66.5%,Hard,0.3201675275962693
896,Monotonic Array,58.4%,Easy,1.6422277352570913
897,Increasing Order Search Tree,78.3%,Easy,0.2421400520048648
921,Minimum Add to Make Parentheses Valid,77.0%,Medium,5.59985251315701
934,Shortest Bridge,53.0%,Medium,1.133098464739279
935,Knight Dialer,49.2%,Medium,1.9854125920315595
938,Range Sum of BST,85.1%,Easy,5.753545732540714
939,Minimum Area Rectangle,53.5%,Medium,1.2833463918674481
953,Verifying an Alien Dictionary,52.5%,Easy,2.439309058349128
958,Check Completeness of a Binary Tree,53.7%,Medium,2.650272400435399
973,K Closest Points to Origin,65.9%,Medium,4.8061139790924985
974,Subarray Sums Divisible by K,53.2%,Medium,0.1629613095094132
977,Squares of a Sorted Array,71.7%,Easy,1.5748523327843205
983,Minimum Cost For Tickets,64.2%,Medium,0.24362208265775043
986,Interval List Intersections,71.2%,Medium,3.017910968497913
987,Vertical Order Traversal of a Binary Tree,41.7%,Hard,4.947729015589695
989,Add to Array-Form of Integer,45.5%,Easy,0.18658595558041216
993,Cousins in Binary Tree,53.9%,Easy,0.22440062250426088
1004,Max Consecutive Ones III,63.1%,Medium,3.211791969979796
1055,Shortest Way to Form String,58.3%,Medium,0.5705448584676129
1011,Capacity To Ship Packages Within D Days,63.7%,Medium,3.1780538303479458
1060,Missing Element in Sorted Array,54.8%,Medium,2.9880102274600806
1099,Two Sum Less Than K,60.5%,Easy,0.8187244879431477
1026,Maximum Difference Between Node and Ancestor,73.3%,Medium,0.7958013346200287
1029,Two City Scheduling,63.7%,Medium,0.3933437475758196
1102,Path With Maximum Minimum Value,53.0%,Medium,1.2939210409888755
1161,Maximum Level Sum of a Binary Tree,66.5%,Medium,0.676886659688165
1047,Remove All Adjacent Duplicates In String,71.0%,Easy,3.521067506587668
1053,Previous Permutation With One Swap,51.5%,Medium,0.8668106746107854
1213,Intersection of Three Sorted Arrays,80.0%,Easy,1.0296194171811583
1091,Shortest Path in Binary Matrix,44.4%,Medium,4.838815940357902
1244,Design A Leaderboard,68.2%,Medium,0.9808292530117262
1216,Valid Palindrome III,50.6%,Hard,3.589539426237693
1094,Car Pooling,58.0%,Medium,0.2124355370417375
1108,Defanging an IP Address,89.1%,Easy,0.10969891725642447
1110,Delete Nodes And Return Forest,69.3%,Medium,1.1731453405306764
1123,Lowest Common Ancestor of Deepest Leaves,70.2%,Medium,1.1155618469818829
1288,Remove Covered Intervals,57.4%,Medium,0.6359887667199967
1299,Replace Elements with Greatest Element on Right Side,74.5%,Easy,0.1415787733316046
1141,User Activity for the Past 30 Days I,51.5%,Easy,0.1541506798272583
1331,Rank Transform of an Array,58.6%,Easy,0.716136698784644
1382,Balance a Binary Search Tree,80.3%,Medium,2.3116349285139637
1944,Number of Visible People in a Queue,70.0%,Hard,2.614342112791113
1207,Unique Number of Occurrences,71.9%,Easy,0.4825218476031389
1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,1.2039728043259361
1206,Design Skiplist,60.0%,Hard,1.007640510462383
1249,Minimum Remove to Make Valid Parentheses,65.7%,Medium,7.0739278988789085
1428,Leftmost Column with at Least a One,52.6%,Medium,2.4803919694334735
1268,Search Suggestions System,65.3%,Medium,0.3746934494414107
1275,Find Winner on a Tic Tac Toe Game,54.6%,Easy,0.798125943970341
1265,Print Immutable Linked List in Reverse,94.3%,Medium,0.705886206337375
1293,Shortest Path in a Grid with Obstacles Elimination,43.6%,Hard,0.35855995863450374
1305,All Elements in Two Binary Search Trees,79.6%,Medium,0.5897688261061103
1344,Angle Between Hands of a Clock,63.3%,Medium,2.47397757925581
1424,Diagonal Traverse II,50.1%,Medium,1.9597512004671847
1443,Minimum Time to Collect All Apples in a Tree,55.6%,Medium,1.0360919316867756
1498,Number of Subsequences That Satisfy the Given Sum Condition,39.2%,Medium,0.21357410029805904
1539,Kth Missing Positive Number,55.6%,Easy,3.0583411744310194
1541,Minimum Insertions to Balance a Parentheses String,49.4%,Medium,0.9064059726416132
1559,Detect Cycles in 2D Grid,48.1%,Medium,1.3862943611198906
1522,Diameter of N-Ary Tree,73.2%,Medium,2.1972245773362196
1588,Sum of All Odd Length Subarrays,83.6%,Easy,0.1500938791316439
1570,Dot Product of Two Sparse Vectors,90.3%,Medium,6.461184780671665
1614,Maximum Nesting Depth of the Parentheses,82.7%,Easy,0.538996500732687
1640,Check Array Formation Through Concatenation,55.9%,Easy,0.7621400520468967
1644,Lowest Common Ancestor of a Binary Tree II,59.0%,Medium,1.1512560221535317
1650,Lowest Common Ancestor of a Binary Tree III,77.4%,Medium,6.693422007614702
1740,Find Distance in a Binary Tree,68.4%,Medium,1.349926716949016
1757,Recyclable and Low Fat Products,94.2%,Easy,0.08112554481236843
1762,Buildings With an Ocean View,79.7%,Medium,6.7227750103969885
1789,Primary Department for Each Employee,79.6%,Easy,0.9088557533866369
1832,Check if the Sentence Is Pangram,81.4%,Easy,0.2124355370417375
1834,Single-Threaded CPU,41.3%,Medium,1.107015699464489
1865,Finding Pairs With a Certain Sum,49.6%,Medium,1.0986122886681096
1868,Product of Two Run-Length Encoded Arrays,58.0%,Medium,2.3838105329166317
1891,Cutting Ribbons,48.1%,Medium,4.182558919044957
1963,Minimum Number of Swaps to Make the String Balanced,67.7%,Medium,0.38193461069797024
1991,Find the Middle Index in Array,66.2%,Easy,0.5668534552356532
1973,Count Nodes Equal to Sum of Descendants,75.1%,Medium,1.2992829841302609
2023,Number of Pairs of Strings With Concatenation Equal to Target,72.9%,Medium,0.680877087968131
2033,Minimum Operations to Make a Uni-Value Grid,50.9%,Medium,1.5260563034950494
2060,Check if an Original String Exists Given Two Encoded Strings,40.7%,Hard,4.119037174812473
2090,K Radius Subarray Averages,41.5%,Medium,0.6257058997644127
2092,Find All People With Secret,33.8%,Hard,0.35454501768090746
2096,Step-By-Step Directions From a Binary Tree Node to Another,48.5%,Medium,0.11540167715731688
